Throttle angle, ?t (degrees);Engine Speed, N (rad/s);Manifold Absolute Pressure, pm (kpa)
90;1169;96,8
90;1175;96,5
90;1175;96,6
90;1175;96,4
90;1175;96,6
90;1181;96,5
90;1181;96,8
90;1188;97,2
90;1188;96,6
90;1188;96,7
90;1188;96,5
90;1181;96,6
90;1188;96,5
90;1188;96,2
90;1188;96
90;1188;96,6
90;1181;97,2
90;1188;97,4
90;1188;97
90;1188;96,8
90;1188;96,5
90;1188;96,8
90;1181;96,6
90;1181;96,7
90;1188;96,7
90;1188;96,7
90;1188;96,4
90;1188;96,7
90;1181;96,3
90;1181;97,2
90;1188;96,7
89;1188;96,8
77;1188;96,1
69;1181;94,6
65;1181;93,6
61;1169;93,3
60;1150;92,9
58;1131;93,4
56;1112;92,7
54;1093;91,9
52;1081;89,9
52;1056;90,6
47;1043;89,5
44;1024;88,6
44;1005;88,9
42;993;87,8
41;974;88,5
39;961;86,9
36;942;85,6
35;924;84,2
35;911;85,1
32;892;81,7
30;886;82,1
29;861;80,8
28;848;79,7
27;842;79,6
27;823;79,8
25;804;77,8
25;792;78,1
25;785;77,9
25;767;77,1
24;748;77,3
24;735;77,9
24;723;77
22;710;75,4
22;697;76,9
21;691;77,1
21;679;75,9
20;660;75,2
19;647;75,4
18;641;74,7
18;622;74,9
17;616;76,3
16;597;75
15;584;73,9
14;572;75,1
14;559;75,3
14;547;75
13;540;74,5
13;528;75
12;515;74,4
12;503;76,3
11;490;77
11;484;77
11;471;75,5
10;459;76,4
10;446;75,2
10;434;76
9;421;77
9;427;76,5
9;415;77,4
10;408;76,9
8;427;77,1
4;421;77,2
0;408;81,5
0;390;83,5
0;383;83,3
0;364;81,2
0;364;85,5
0;346;84,9
0;346;86,5
0;327;88,4
0;320;88,9
0;314;91,9
0;308;89,1
0;295;89,2
0;289;90
0;295;90,4
0;289;90,8
